timestamp,cps,cps_err,usv_hr
1776294975.4170122,1.6,0.565685424949238,0.0200544
1776294979.4210696,3.4,0.8246211251235321,0.0426156
1776294981.4568403,2.8,0.7483314773547882,0.0350952
1776294983.491203,3.2,0.8,0.0401088
1776294985.491909,3.2,0.8,0.0401088
1776294987.4842987,2.8,0.7483314773547882,0.0350952
1776294989.5445654,2.6,0.7211102550927978,0.032588400000000003
1776294991.5286407,2.2,0.6633249580710799,0.027574800000000003
1776294993.5563998,3.4,0.8246211251235321,0.0426156
1776294995.5709662,3.6,0.8485281374238569,0.0451224
1776294997.6088843,2.0,0.6324555320336759,0.025068
1776294999.6190114,3.4,0.8246211251235321,0.0426156
1776295001.6088865,2.0,0.6324555320336759,0.025068
1776295003.6683712,1.8,0.6,0.0225612
1776295005.6880593,3.4,0.8246211251235321,0.0426156
1776295007.6735487,3.0,0.7745966692414834,0.037602
1776295009.6859374,3.0,0.7745966692414834,0.037602
1776295011.71903,3.2,0.8,0.0401088
1776295013.7298324,3.6,0.8485281374238569,0.0451224
1776295015.7664893,2.8,0.7483314773547882,0.0350952
1776295017.7546802,3.4,0.8246211251235321,0.0426156
1776295019.7911785,2.4,0.6928203230275509,0.0300816
1776295021.8189864,2.8,0.7483314773547882,0.0350952
1776295023.873562,4.0,0.894427190999916,0.050136
1776295025.8195524,3.0,0.7745966692414834,0.037602
1776295027.8459108,2.8,0.7483314773547882,0.0350952
1776295029.8638663,2.8,0.7483314773547882,0.0350952
1776295031.8952894,3.2,0.8,0.0401088
1776295033.8971975,1.2,0.4898979485566356,0.0150408
1776295035.907995,2.4,0.6928203230275509,0.0300816
1776295037.9379852,3.0,0.7745966692414834,0.037602
1776295039.9817648,3.0,0.7745966692414834,0.037602
1776295041.9755309,2.6,0.7211102550927978,0.032588400000000003
1776295043.9818306,2.6,0.7211102550927978,0.032588400000000003
1776295046.0200925,1.8,0.6,0.0225612
1776295048.0567217,2.4,0.6928203230275509,0.0300816
1776295050.0675838,2.0,0.6324555320336759,0.025068
1776295052.0497673,2.2,0.6633249580710799,0.027574800000000003
1776295054.1152594,4.0,0.894427190999916,0.050136
1776295056.1135101,2.8,0.7483314773547882,0.0350952
1776295058.1454406,1.4,0.5291502622129182,0.0175476
1776295060.1611998,3.0,0.7745966692414834,0.037602
1776295062.1879218,1.2,0.4898979485566356,0.0150408
1776295064.1975315,2.8,0.7483314773547882,0.0350952
1776295066.1844287,2.2,0.6633249580710799,0.027574800000000003
1776295068.2350206,3.0,0.7745966692414834,0.037602
1776295070.2436428,2.8,0.7483314773547882,0.0350952
1776295072.2751682,2.4,0.6928203230275509,0.0300816
1776295074.285265,1.8,0.6,0.0225612
1776295076.275036,4.4,0.938083151964686,0.05514960000000001
1776295078.3067174,3.0,0.7745966692414834,0.037602
1776295080.3068578,3.2,0.8,0.0401088
1776295082.3583708,2.4,0.6928203230275509,0.0300816
1776295084.369549,2.4,0.6928203230275509,0.0300816
1776295086.3965886,2.4,0.6928203230275509,0.0300816
1776295088.419918,2.4,0.6928203230275509,0.0300816
1776295090.4414544,3.2,0.8,0.0401088
1776295092.4201374,2.4,0.6928203230275509,0.0300816
1776295094.4196854,1.6,0.565685424949238,0.0200544
1776295096.4541142,2.2,0.6633249580710799,0.027574800000000003
1776295098.4903376,2.6,0.7211102550927978,0.032588400000000003
1776295100.5042434,2.2,0.6633249580710799,0.027574800000000003
1776295102.5087729,1.8,0.6,0.0225612
1776295104.557513,1.4,0.5291502622129182,0.0175476
1776295106.5800683,3.0,0.7745966692414834,0.037602
1776295108.5559535,2.2,0.6633249580710799,0.027574800000000003
1776295110.601796,3.6,0.8485281374238569,0.0451224
1776295112.5877407,2.6,0.7211102550927978,0.032588400000000003
1776295114.6499412,2.0,0.6324555320336759,0.025068
1776295116.6691382,2.4,0.6928203230275509,0.0300816
1776295118.6606224,2.0,0.6324555320336759,0.025068
1776295120.7090292,2.6,0.7211102550927978,0.032588400000000003
1776295122.6928396,2.2,0.6633249580710799,0.027574800000000003
1776295124.7426314,4.4,0.938083151964686,0.05514960000000001
1776295126.742563,1.4,0.5291502622129182,0.0175476
1776295128.7712834,2.2,0.6633249580710799,0.027574800000000003
1776295130.743786,1.4,0.5291502622129182,0.0175476
1776295132.7846594,2.8,0.7483314773547882,0.0350952
1776295134.8151104,2.8,0.7483314773547882,0.0350952
1776295136.8327541,2.4,0.6928203230275509,0.0300816
1776295138.8332057,2.0,0.6324555320336759,0.025068
1776295140.8551173,3.0,0.7745966692414834,0.037602
1776295142.8819523,3.4,0.8246211251235321,0.0426156
1776295144.9069686,2.8,0.7483314773547882,0.0350952
1776295146.9222066,2.6,0.7211102550927978,0.032588400000000003
1776295148.921994,2.2,0.6633249580710799,0.027574800000000003
1776295150.9431818,2.6,0.7211102550927978,0.032588400000000003
1776295152.940373,2.4,0.6928203230275509,0.0300816
1776295154.993257,2.8,0.7483314773547882,0.0350952
1776295157.016976,2.8,0.7483314773547882,0.0350952
1776295159.000771,3.0,0.7745966692414834,0.037602
1776295161.0120049,3.8,0.8717797887081348,0.0476292
1776295163.043649,2.4,0.6928203230275509,0.0300816
1776295165.0754673,4.2,0.916515138991168,0.052642800000000003
1776295167.0747023,2.2,0.6633249580710799,0.027574800000000003
1776295169.1215048,4.6,0.9591663046625438,0.0576564
1776295171.1121032,3.2,0.8,0.0401088
1776295173.1453907,3.6,0.8485281374238569,0.0451224
1776295175.2066638,4.4,0.938083151964686,0.05514960000000001
1776295177.172792,3.0,0.7745966692414834,0.037602
1776295179.219406,3.6,0.8485281374238569,0.0451224
1776295181.2181625,3.4,0.8246211251235321,0.0426156
1776295183.23698,3.6,0.8485281374238569,0.0451224
1776295185.2668445,3.4,0.8246211251235321,0.0426156
1776295187.2559896,4.8,0.9797958971132712,0.0601632
1776295189.3114731,3.4,0.8246211251235321,0.0426156
1776295191.2928255,3.0,0.7745966692414834,0.037602
1776295193.3190482,3.0,0.7745966692414834,0.037602
1776295195.3363223,5.0,1.0,0.06267
1776295197.376822,3.0,0.7745966692414834,0.037602
1776295199.3736281,3.8,0.8717797887081348,0.0476292
1776295201.3717186,2.4,0.6928203230275509,0.0300816
1776295203.4134576,3.6,0.8485281374238569,0.0451224
1776295205.4214568,4.8,0.9797958971132712,0.0601632
1776295207.4634583,4.6,0.9591663046625438,0.0576564
1776295209.4728053,4.8,0.9797958971132712,0.0601632
1776295211.5085692,3.6,0.8485281374238569,0.0451224
1776295213.4876735,5.0,1.0,0.06267
1776295215.5006068,4.2,0.916515138991168,0.052642800000000003
1776295217.5032766,3.2,0.8,0.0401088
1776295219.529152,3.4,0.8246211251235321,0.0426156
1776295221.5571003,5.0,1.0,0.06267
1776295223.6042626,2.6,0.7211102550927978,0.032588400000000003
1776295225.6018817,4.8,0.9797958971132712,0.0601632
1776295227.637761,3.6,0.8485281374238569,0.0451224
1776295229.6469853,3.4,0.8246211251235321,0.0426156
1776295231.6726406,3.4,0.8246211251235321,0.0426156
1776295233.6533933,4.2,0.916515138991168,0.052642800000000003
1776295235.6732652,3.4,0.8246211251235321,0.0426156
1776295237.7108593,4.0,0.894427190999916,0.050136
1776295239.7372088,4.4,0.938083151964686,0.05514960000000001
1776295241.7241185,3.2,0.8,0.0401088
1776295243.7793026,2.8,0.7483314773547882,0.0350952
1776295245.7929513,4.0,0.894427190999916,0.050136
1776295247.779117,2.6,0.7211102550927978,0.032588400000000003
1776295249.796982,3.2,0.8,0.0401088
1776295251.8428357,4.0,0.894427190999916,0.050136
1776295253.838395,4.0,0.894427190999916,0.050136
1776295255.851254,3.2,0.8,0.0401088
1776295257.8814569,3.6,0.8485281374238569,0.0451224
1776295259.880422,3.8,0.8717797887081348,0.0476292
1776295261.9176767,1.8,0.6,0.0225612
1776295263.9850845,4.8,0.9797958971132712,0.0601632
1776295265.9505327,2.6,0.7211102550927978,0.032588400000000003
1776295267.984153,2.2,0.6633249580710799,0.027574800000000003
1776295269.982194,2.8,0.7483314773547882,0.0350952
1776295272.034725,4.6,0.9591663046625438,0.0576564
1776295274.016987,4.0,0.894427190999916,0.050136
1776295276.0640883,1.8,0.6,0.0225612
1776295278.0597296,3.2,0.8,0.0401088
1776295280.0885227,2.8,0.7483314773547882,0.0350952
1776295282.080606,2.6,0.7211102550927978,0.032588400000000003
1776295284.111541,4.0,0.894427190999916,0.050136
1776295286.1644802,3.0,0.7745966692414834,0.037602
1776295288.1694374,4.0,0.894427190999916,0.050136
1776295290.1914973,4.0,0.894427190999916,0.050136
1776295292.177118,4.4,0.938083151964686,0.05514960000000001
1776295294.1722586,2.6,0.7211102550927978,0.032588400000000003
1776295296.2116551,4.0,0.894427190999916,0.050136
1776295298.2480261,2.4,0.6928203230275509,0.0300816
1776295300.2305458,3.2,0.8,0.0401088
1776295302.247064,2.0,0.6324555320336759,0.025068
1776295304.2747831,3.4,0.8246211251235321,0.0426156
1776295306.3108494,3.0,0.7745966692414834,0.037602
1776295308.304507,2.6,0.7211102550927978,0.032588400000000003
1776295310.3303692,2.2,0.6633249580710799,0.027574800000000003
1776295312.3643873,0.8,0.4,0.0100272
1776295314.3882284,1.8,0.6,0.0225612
1776295316.399844,3.2,0.8,0.0401088
1776295318.398319,5.0,1.0,0.06267
1776295320.4285703,3.2,0.8,0.0401088
1776295322.4693904,3.6,0.8485281374238569,0.0451224
1776295324.4423895,2.0,0.6324555320336759,0.025068
1776295326.5086956,4.0,0.894427190999916,0.050136
1776295328.497064,2.6,0.7211102550927978,0.032588400000000003
1776295330.5059752,2.0,0.6324555320336759,0.025068
1776295332.545912,6.6,1.1489125293076057,0.08272439999999999
1776295334.569488,4.6,0.9591663046625438,0.0576564
1776295336.5668974,3.8,0.8717797887081348,0.0476292
1776295338.6148522,2.4,0.6928203230275509,0.0300816
