timestamp,latitude,longitude,accuracy
1776294978.2568715,37.875978204302584,-122.25900558861066,19.89191762560172
1776294992.6665452,37.87597830183134,-122.2590050861558,14.134266359495513
1776294999.0529826,37.875977544219225,-122.25900533949824,11.526636313711615
1776295005.417436,37.87597710035682,-122.2590061884914,10.407540662156775
1776295011.7923863,37.875977255820864,-122.25900534458097,9.226994629290957
1776295018.1603842,37.87597747398444,-122.25900525062133,8.378494803651348
1776295024.5250313,37.875977343734526,-122.25900777586921,7.727962681873657
1776295030.8947628,37.875973965324036,-122.259017263612,18.320778326347018
1776295037.2742887,37.87597810966193,-122.25899917360461,19.970797107234336
1776295043.6481445,37.87597983568965,-122.2590087322261,19.970774306581404
1776295050.0175414,37.87597677866942,-122.25898977630271,19.970776729860436
1776295056.4025822,37.875961020874406,-122.25890446161904,19.970855038316042
1776295062.776937,37.87595018211636,-122.2587421673227,19.990452030231296
1776295069.1557505,37.87592413500331,-122.25887936298676,19.970852619294508
1776295075.5310805,37.87589473683249,-122.25883143600699,19.970795400163627
1776295081.9068172,37.87589372794435,-122.25879944538148,19.970772103258025
1776295088.2705524,37.87588895603022,-122.25878677054534,19.970728466879006
1776295094.6317163,37.875889060706285,-122.25878483127555,19.97068699345945
1776295100.992337,37.87588891034419,-122.25878700794264,19.970662785491477
1776295107.3559258,37.875888679814985,-122.25879142140688,19.970697248483486
1776295113.7328947,37.875888098512576,-122.2587978100154,19.97073665558331
1776295120.1134963,37.875836576542646,-122.25906335880144,28.442679053597338
1776295121.2453845,37.87583606562711,-122.25906405816752,28.477418104555035
1776295127.1606832,37.87592590190134,-122.25860933878144,334.5157578031194
1776295127.1656194,37.87592590190983,-122.25860933873841,334.5160562161857
1776295127.604886,37.875888016729334,-122.25880024405711,19.964567250791458
1776295133.9838302,37.875888245903006,-122.25879655795163,19.970690122887845
1776295140.3348553,37.875888097244896,-122.25879782501833,19.970713333201164
1776295146.7068806,37.875893719534126,-122.25880972836619,19.970723035190662
1776295153.0837905,37.87590229487314,-122.25881243890531,19.970771591565242
1776295159.469878,37.875837906867,-122.25908658437571,26.634296409078267
1776295165.8564482,37.87586721508179,-122.25900977280314,19.97094501262136
1776295172.248224,37.87586916565521,-122.25904201656795,21.4806314713448
1776295178.633376,37.875850302735124,-122.25904850363084,21.908446051709102
1776295185.0326514,37.87584637208902,-122.25906082735298,22.128945895933352
1776295191.4363592,37.875828238538006,-122.25911495478431,21.655346724602335
1776295192.5682065,37.87586900648419,-122.25909927714328,25.389703711235153
1776295198.4505196,37.875837229837465,-122.25910411324308,22.209051663472465
1776295199.611865,37.87586619571172,-122.25908768080949,28.135659544423223
1776295204.3725975,37.87587156843324,-122.25908288687937,24.86138876416527
1776295204.7404985,37.875835572674596,-122.25911208572082,20.508731813684953
1776295205.8955967,37.87585377662692,-122.25912355002322,21.380243408126614
1776295212.2881482,37.875841127674455,-122.25910317694728,15.511547106109912
1776295218.70439,37.875837454286064,-122.25913812082004,19.72996250080276
1776295225.0782664,37.87585140605014,-122.25915840064017,21.878543515701217
1776295226.248589,37.8758413200974,-122.25922934054215,18.944807460413855
1776295232.6537144,37.87574154653487,-122.2592818834364,28.55007572186951
1776295239.0552545,37.875803935672145,-122.2592262140097,22.344060766284887
1776295242.2707334,37.875834295170115,-122.25915675419603,47.89918173742605
1776295242.2917073,37.87583429383747,-122.25915672989943,47.89906172502109
1776295242.297875,37.87583429314402,-122.25915671737357,47.89902986272555
1776295242.3035994,37.87583429247978,-122.25915670539723,47.89900061421703
1776295242.3080442,37.875834291851184,-122.25915669396197,47.898973765812116
1776295242.3144405,37.8758342913416,-122.259156684844,47.89895664429692
1776295242.3226871,37.87583429058704,-122.25915667123192,47.898918213287786
1776295245.4599378,37.875782648166584,-122.2591482714031,18.550719479573267
1776295247.991041,37.87578082588187,-122.25914703594682,19.48878520074769
1776295247.9966276,37.87578114127087,-122.25914547690147,19.486935684629273
