timestamp,temp_mean,temp_err,hum_mean,hum_err,press_mean,press_err,alt_mean,alt_err,voc_mean,voc_err
1776295885.5250747,24.997578125,0.00019531250000071054,47.226012584393914,0.021728473490110645,1011.2059692130877,0.0005677928970158064,17.031869365005115,0.0047349997397976296,128377.0,342.0
1776295887.5626042,24.857441406249997,0.020410156249999645,47.84232490219497,0.03791550955845224,1011.2105926166305,0.00035744383677638325,16.993313450454608,0.00298082314540693,86911.5,7552.5
1776295889.5805254,24.82150390625,0.0010742187500003553,47.840985479746294,0.01257586448328496,1011.2115979733394,0.001795314603668885,16.984929516152008,0.014971613615694324,106517.5,2989.5
1776295891.58435,24.82697265625,0.002832031250001421,47.73593083586688,0.03695711045969574,1011.2222251955106,0.0024832440324757954,16.896306625636534,0.020708266799944752,116280.0,1562.0
1776295893.6206763,24.8391796875,0.0027343749999992895,47.57274133145643,0.04625449744727561,1011.2199029922244,0.0017779160425561713,16.91567194953496,0.014826423716696624,121547.5,1269.5
1776295895.6366556,24.85080078125,0.0018554687499996447,47.40030981818899,0.027699975922953257,1011.213979042074,0.005657572918039477,16.965073255586812,0.04717993941621046,126028.0,376.0
1776295897.6609533,24.85548828125,0.00029296874999928946,47.26750323780122,0.03717352786845751,1011.2109653454701,0.000409344139256973,16.990205162039082,0.0034136331210152804,128572.0,147.0
1776295899.7344785,24.85685546875,0.00048828125,47.171568788990164,0.009357079996512141,1011.2131801153668,0.0034428053220381116,16.971735643422548,0.02871044753390528,130359.5,50.5
1776295901.7136273,24.852265625,0.0009765625,47.14931450470692,0.00011949770633989942,1011.2128162841311,0.0010698125816475113,16.97476969125801,0.00892144750247148,132561.0,208.0
1776295903.764296,24.8489453125,0.0007812499999992895,47.167501321932185,0.006102371128008599,1011.2215803882905,0.0013861806406225696,16.901683788747867,0.011559642542527726,132880.5,941.5
1776295905.8167582,24.84298828125,0.0018554687499996447,47.23806327181519,0.01527372132011351,1011.2198854348017,0.0022976935320002667,16.915818371728527,0.019160960101027413,134677.0,215.0
1776295907.8460736,24.83869140625,0.00048828125,47.34607796488879,0.024756879634672657,1011.2226476457922,0.0018607294620096582,16.89278372013185,0.015516988505869023,135542.5,217.5
1776295909.8657448,24.850117187499997,0.006249999999999645,47.72025474516762,0.20594821547736686,1011.2225947759348,0.0004823290273634484,16.89322460148579,0.004022236678649094,131230.5,1122.5
1776295911.9036915,24.88087890625,0.00830078125,48.69677407262819,0.26362339514709987,1011.2273455636227,0.00195495924953093,16.85360693536903,0.016302727889057067,130058.0,50.0
1776295913.9159334,24.9376171875,0.0185546875,49.596999678292185,0.16260021843320516,1011.2290841563649,0.0008814184560037575,16.839108523426287,0.007350283766445642,131482.0,871.0
1776295915.95388,25.01134765625,0.01728515625000071,49.93341885464366,0.005362744425401189,1011.232691279863,0.0014717109884827553,16.80902821509822,0.0122727883358138,134305.0,695.0
1776295917.986346,25.0778515625,0.015429687500001066,49.72170455288024,0.08922283276761078,1011.2307609176755,0.0019986201210144827,16.825125773668542,0.01666677752421819,136144.0,165.0
1776295920.00844,25.13322265625,0.011816406250000355,49.339230978718675,0.10205936228221901,1011.2275839274014,0.0005650471122748968,16.851619168968472,0.004712020244525661,137595.0,1066.0
1776295922.0472815,25.17921875,0.01093750000000071,48.940663820329505,0.0988248462548782,1011.2207084731552,0.0009080528799358945,16.908954865430427,0.007572443100954729,139121.0,688.0
1776295924.0574899,25.2130078125,0.0017578124999992895,48.5851434648951,0.0779137088927655,1011.2232430385961,0.004229072939835987,16.887818671916907,0.03526705319122314,141096.0,236.0
1776295926.0919483,25.20685546875,0.0036132812500007105,48.32826573669276,0.04726502028079338,1011.2079743539325,0.007619618359115066,17.015148084488985,0.06354224086125804,140920.0,412.0
1776295928.1162121,25.19416015625,0.00244140625,48.24866865027714,0.0065438553581849135,1011.2077587721667,0.007543925373795446,17.016945880629237,0.06291102563044682,141691.0,714.0
