timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776297047.9987772,0.0,0.0,1.0,0.0,2.0,0.0
1776297052.020249,0.0,0.0,1.0,0.0,2.0,0.0
1776297056.0253563,0.5,0.5,1.0,0.0,2.0,0.0
1776297060.0413694,1.0,0.0,1.0,0.0,2.0,0.0
1776297064.0608602,1.0,0.0,1.0,0.0,2.0,0.0
1776297068.0588248,1.0,0.0,1.0,0.0,2.0,0.0
1776297072.0467231,1.0,0.0,1.0,0.0,2.0,0.0
1776297076.085767,1.0,0.0,1.0,0.0,2.0,0.0
1776297080.082136,1.0,0.0,1.0,0.0,2.0,0.0
1776297084.0810146,1.0,0.0,1.0,0.0,2.0,0.0
1776297088.0961673,1.0,0.0,1.0,0.0,1.0,0.0
1776297092.0825312,1.5,0.5,2.0,1.0,2.0,1.0
1776297096.1383276,2.0,0.0,3.5,0.5,3.5,0.5
1776297100.121425,2.0,0.0,4.0,0.0,4.0,0.0
1776297104.12784,1.5,0.5,4.5,0.5,4.5,0.5
1776297108.15385,1.5,0.5,5.5,0.5,5.5,0.5
1776297112.133092,0.5,0.5,5.5,0.5,5.5,0.5
1776297116.1845024,0.0,0.0,5.0,0.0,5.0,0.0
1776297120.1862822,0.0,0.0,5.0,0.0,5.0,0.0
1776297124.2017732,0.0,0.0,5.0,0.0,5.0,0.0
1776297128.185657,0.0,0.0,5.0,0.0,5.0,0.0
1776297132.2302039,0.0,0.0,5.0,0.0,5.0,0.0
1776297136.2170877,0.0,0.0,4.0,0.0,4.0,0.0
1776297140.241801,0.0,0.0,4.0,0.0,4.0,0.0
1776297144.2415404,0.0,0.0,4.0,0.0,4.0,0.0
1776297148.2482212,0.0,0.0,3.0,0.0,3.0,0.0
1776297152.2440166,0.0,0.0,3.0,0.0,3.0,0.0
1776297156.3033664,0.0,0.0,3.0,0.0,3.0,0.0
1776297160.3026454,1.0,0.0,3.0,0.0,3.0,0.0
1776297164.31359,1.0,0.0,3.0,0.0,3.0,0.0
1776297168.3293142,1.0,0.0,3.0,0.0,3.0,0.0
1776297172.3152509,1.0,0.0,2.0,0.0,2.0,0.0
1776297176.3053465,1.0,0.0,2.0,0.0,2.0,0.0
1776297180.3154454,1.0,0.0,2.0,0.0,2.0,0.0
1776297184.3310795,1.0,0.0,2.0,0.0,2.0,0.0
1776297188.3786476,1.0,0.0,1.5,0.5,1.5,0.5
1776297192.3485339,1.0,0.0,1.0,0.0,1.0,0.0
1776297196.3704283,1.0,0.0,2.0,0.0,2.0,0.0
1776297200.39948,1.0,0.0,1.5,0.5,1.5,0.5
1776297204.3936832,1.0,0.0,1.0,0.0,1.0,0.0
1776297208.3996847,1.0,0.0,2.0,0.0,2.0,0.0
1776297212.404063,0.5,0.5,1.5,0.5,1.5,0.5
1776297216.4486868,0.0,0.0,1.0,0.0,1.0,0.0
1776297220.4261043,0.0,0.0,1.0,0.0,1.0,0.0
1776297224.4323726,0.0,0.0,1.0,0.0,1.0,0.0
1776297228.443442,0.0,0.0,1.0,0.0,1.0,0.0
1776297232.4823856,0.0,0.0,1.0,0.0,1.0,0.0
1776297236.5127864,0.0,0.0,0.5,0.5,0.5,0.5
1776297240.4726362,0.0,0.0,0.0,0.0,0.0,0.0
1776297244.5058568,0.0,0.0,0.0,0.0,0.0,0.0
1776297248.5212138,0.0,0.0,0.0,0.0,0.0,0.0
1776297252.521815,0.0,0.0,0.0,0.0,0.0,0.0
1776297256.553197,0.0,0.0,0.0,0.0,0.0,0.0
1776297260.5511456,0.0,0.0,0.0,0.0,0.0,0.0
1776297264.5431423,0.0,0.0,0.0,0.0,0.0,0.0
1776297268.5747602,0.0,0.0,0.0,0.0,0.0,0.0
1776297272.557962,0.0,0.0,0.5,0.5,0.5,0.5
1776297276.5600233,0.0,0.0,1.0,0.0,1.0,0.0
1776297280.5906396,1.0,0.0,1.0,0.0,1.0,0.0
1776297284.5939445,1.0,0.0,1.0,0.0,1.0,0.0
1776297288.595657,1.0,0.0,1.0,0.0,1.0,0.0
1776297292.594507,1.0,0.0,2.0,0.0,2.0,0.0
