time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:21:00 2026,38.632734375,88026,21.795470194646477,1008.1306117457451,42.70985731534464,0,0,0,0,0,0,264,28,0,0,0,0
Wed Feb 18 16:21:01 2026,38.5329296875,89000,21.718248281037816,1008.1177890392335,42.81705441422306,0,0,0,0,0,0,264,28,0,0,0,0
Wed Feb 18 16:21:02 2026,38.410078125,90549,21.68787041049806,1008.1030209722386,42.940515984330744,0,0,0,0,0,0,264,28,0,0,0,0
Wed Feb 18 16:21:03 2026,38.2747265625,91866,21.753455479127673,1008.0927616121677,43.02628546479192,0,0,0,0,0,0,264,28,0,0,0,0
Wed Feb 18 16:21:04 2026,38.145234375,92928,21.797927887148994,1008.0848440375045,43.092477821618964,0,0,0,0,0,0,264,28,0,0,0,0
Wed Feb 18 16:21:05 2026,38.0387890625,97184,21.709570884007327,1008.0805752665689,43.12816569370978,0,0,0,0,0,0,264,28,0,0,0,0
Wed Feb 18 16:21:06 2026,37.9346875,98483,21.59999854211484,1008.0693969783736,43.22161924278236,0,0,0,0,0,0,294,36,0,0,0,0
Wed Feb 18 16:21:07 2026,37.86359375,98428,21.65936969987184,1008.0674646547875,43.23777408194376,0,0,0,0,0,0,294,36,0,0,0,0
Wed Feb 18 16:21:08 2026,37.7753125,100212,21.85192121919101,1008.0570768194402,43.32462011582054,0,0,0,0,0,0,294,36,0,0,0,0
Wed Feb 18 16:21:09 2026,37.6751171875,101594,21.882335024045467,1007.9970051831831,43.826854779313265,0,0,0,0,0,0,306,40,0,0,0,0
Wed Feb 18 16:21:10 2026,37.5774609375,102834,21.90754788758726,1007.9837258590727,43.937881110090075,0,0,0,0,0,0,306,40,0,0,0,0
Wed Feb 18 16:21:11 2026,37.4739453125,104536,21.88393585027992,1007.9679702865876,44.06961249848845,0,0,0,0,0,0,306,40,0,0,0,0
Wed Feb 18 16:21:12 2026,37.379609375,105534,21.82876145623749,1007.9582428818403,44.15094357354803,0,0,0,0,0,0,318,44,0,0,0,0
Wed Feb 18 16:21:13 2026,37.2848828125,107197,21.816571385090718,1007.9425076183968,44.28250785136703,0,0,0,0,0,0,318,44,0,0,0,0
Wed Feb 18 16:21:14 2026,37.2079296875,107654,21.83251931901262,1007.9361588744101,44.335590872806705,0,0,0,0,0,0,318,44,0,0,0,0
Wed Feb 18 16:21:15 2026,37.1290234375,108779,21.86443656793712,1007.921268329322,44.46009453354671,0,0,0,0,0,0,318,46,0,0,0,0
Wed Feb 18 16:21:16 2026,37.0235546875,110134,21.93741106096898,1007.9199049547407,44.471494131987164,0,0,0,0,0,0,318,46,0,0,0,0
Wed Feb 18 16:21:17 2026,36.98703125,110409,21.977758669594927,1007.9154329454842,44.508886078358096,0,0,0,0,0,0,318,46,0,0,0,0
Wed Feb 18 16:21:18 2026,36.9708203125,110685,22.110991803043014,1007.9156506354257,44.507065897748724,0,0,0,0,0,0,219,40,2,0,0,0
Wed Feb 18 16:21:19 2026,36.96671875,112444,22.229077046549385,1007.9196230633189,44.47385111529677,0,0,0,0,0,0,219,40,2,0,0,0
Wed Feb 18 16:21:20 2026,36.9692578125,113527,22.17005767093622,1007.9326476408247,44.36494906180339,0,0,0,0,0,0,219,40,2,0,0,0
Wed Feb 18 16:21:21 2026,36.976484375,114113,22.06300175759783,1007.9231102078562,44.44469403472728,0,0,0,0,0,0,138,34,2,0,0,0
Wed Feb 18 16:21:22 2026,36.996796875,114482,21.973090835003212,1007.9189192237828,44.479736142541796,0,0,0,0,0,0,138,34,2,0,0,0
Wed Feb 18 16:21:23 2026,37.002265625,114631,22.24244100537851,1007.9136216233248,44.524031179383734,0,0,0,0,0,0,138,34,2,0,0,0
Wed Feb 18 16:21:24 2026,36.9735546875,115078,22.47204430484556,1007.9076717995923,44.57377990131372,0,0,0,0,0,0,156,38,2,0,0,0
Wed Feb 18 16:21:25 2026,36.953828125,116518,22.492162368231465,1007.9039324517553,44.605046121645664,0,0,0,0,0,0,156,38,2,0,0,0
Wed Feb 18 16:21:26 2026,36.9641796875,117681,22.428218002952566,1007.9101521655568,44.55304059639701,0,0,0,0,0,0,156,38,2,0,0,0
Wed Feb 18 16:21:27 2026,36.97765625,118549,22.332200566479194,1007.9125833182319,44.53271282303938,0,0,0,0,0,0,180,46,2,0,0,0
Wed Feb 18 16:21:28 2026,37.0110546875,119268,22.23769882431256,1007.9226225851013,44.44877119260501,0,0,0,0,0,0,180,46,2,0,0,0
Wed Feb 18 16:21:29 2026,37.037421875,120241,22.169642260882576,1007.9211927935979,44.46072611087823,0,0,0,0,0,0,180,46,2,0,0,0
Wed Feb 18 16:21:30 2026,37.0614453125,120734,22.176775370463318,1007.9177152490796,44.48980296743437,0,0,0,0,0,0,138,40,2,0,0,0
Wed Feb 18 16:21:31 2026,37.0731640625,121480,22.150718749618513,1007.9154977072299,44.508344583056875,0,0,0,0,0,0,138,40,2,0,0,0
Wed Feb 18 16:21:32 2026,37.0907421875,121647,22.11971115842153,1007.912170064839,44.53616818583423,0,0,0,0,0,0,138,40,2,0,0,0
